ShortName	ENName
FE	Fundamentals of Christian Education
FH	From the Heart
FLB	The Faith I Live By
FPR	Forest Park Reporter
FW	Faith and Works
Gazette	The Church Officers’ Gazette
GC	The Great Controversy
GC88	The Great Controversy 1888
GCB	The General Conference Bulletin
GCDB	General Conference Daily Bulletin
GH	The Gospel Herald
GH	The Southern Missionary
GH	The Gospel Herald
GMM	Gospel Medical Messenger
GosHealth	The Gospel of Health
GrH_c	The Great Hope (Condensed)
GS	The Good Samaritan
GW	Gospel Workers 1915
GW92	Gospel Workers 1892
HDL	Help In Daily Living
HF	From Here to Forever
HFM	The Health Food Ministry
HL	Healthful Living
HLv	From Heaven With Love
HM	The Home Missionary
HM	The Missionary Magazine
HP	In Heavenly Places
HR	The Health Reformer
HR	Good Health
HS	Historical Sketches of the Foreign Missions of the Seventh
Hvn	Heaven
IR	The Indiana Reporter
LDE	Last Day Events
LHU	Lift Him Up
LP	Sketches from the Life of Paul
LS	Life Sketches of Ellen G. White
LS80	Life Sketches of James White and Ellen G. White 1880
LS88	Life Sketches of James White and Ellen G. White 1888
LUH	Lake Union Herald
LYL	Letters to Young Lovers
Mar	Maranatha
MB	Thoughts from the Mount of Blessing
MC	Manual for Canvassers
MedEv	The Medical Evangelist
Messenger	The Messenger
MH	The Ministry of Healing
MinnWorker	The Minnesota Worker
MissWorker	The Missionary Worker
ML	My Life Today
MM	Medical Ministry
MMis	The Medical Missionary
MMR	Monthly Missionary Reading
MTC	Ministry to the Cities
MYP	Messages to Young People
NebRep	The Nebraska Reporter
Needs	The Needs of the Cause in Australasia
NIRec	The Northern Illinois Recorder
NL	A New Life (Revival and Beyond)
NPUGleaner	North Pacific Union Gleaner
NUReaper	The Northern Union Reaper
NYI	The New York Indicator
OFC	Our Father Cares
OHC	Our High Calling
Outlook	The Central Union Outlook
OW	The Oriental Watchman
PaM	Pastoral Ministry
PCP	Peter’s Counsel to Parents
PHJ	Pacific Health Journal
PHJ	Life and Health
PK	Prophets and Kings
PM	The Publishing Ministry
PP	Patriarchs and Prophets
Pr	Prayer
PrT	The Present Truth (UK)
PT	The Present Truth
PUR	Pacific Union Recorder
RC	Reflecting Christ
RH	The Review and Herald
RP	Report of Progress
RP	Southern Union Worker
RY	The Retirement Years
SA	A Solemn Appeal
San	Sanitarium Announcement
SC	Steps to Christ
SD	Sons and Daughters of God
SFEcho	Southern Field Echo
SJ	The Story of Jesus
SL	The Sanctified Life
SpTEd	Special Testimonies On Education
SR	The Story of Redemption
SS	From Splendor to Shadow
SSW	Sabbath
ST	The Signs of the Times
SW	The Southern Review
SW	The Southern Watchman
SW	The Watchman
SWk	The Southern Work
TA	The Truth About Angels
TDG	This Day With God
Te	Temperance
Tidings	Field Tidings
TM	Testimonies to Ministers and Gospel Workers
TMK	That I May Know Him
TR	True Revival
TrueMiss	The True Missionary
TSA	Testimonies to Southern Africa
TSB	Testimonies on Sexual Behavior, Adultery, and Divorce
TSDF	Testimony Studies on Diet and Foods
TSS	Testimonies on Sabbath
TT	From Trials to Triumph
UL	The Upward Look
Visitor	The Columbia Union Visitor
VSS	The Voice in Speech and Song
WB	The Workers’ Bulletin
WIMessenger	West Indian Messenger
WLF	A Word to the Little Flock
WM	Welfare Ministry
WMHerald	The West Michigan Herald
WR	The Wisconsin Reporter
YI	The Youth’s Instructor
YRP	Ye Shall Receive Power
